idx,repository
0,mk12/mycraft
1,QuantumBadger/RedReader
2,jfeinstein10/SlidingMenu
3,UniTime/cpsolver
4,fastcat-co/fastcatsearch
5,buremba/netty-rest
6,Complexible/stardog-spring
7,CXgamer/MC-ticker
8,Tibolte/ElasticDownload
9,Turkey2349/Call_Of_Minecraft-Zombies
10,raveeshbhalla/Hermes
11,android-awesome/Awesome-Material
12,coobird/thumbnailator
13,basho-labs/riakcs-java-client
14,samyboy89/NonTouchRecyclerView
15,timesheetIO/Android-API
16,vaadin/gwt-polymer
17,kinneyyan/36krReader
18,sdeo/protobuf-socket-rpc
19,martincameron/micromod
20,aikuma/aikuma
21,dkmeteor/PathEffectTextView
22,asciidoctor/asciidoctor-gradle-examples
23,voodoodyne/htmleasy
24,voodoodyne/subethasmtp
25,jfedor2/nxt-remote-control
26,sephiroth74/OverlayMenu
27,psi-probe/psi-probe
28,twitter/netty-http2
29,square/moshi
30,spring-cloud/spring-cloud-lattice
31,minman/wicketforge
32,markush/pxchat
33,GoogleCloudPlatform/appengine-java-snippets
34,rvs-fluid-it/wizard-in-a-box
35,alibaba/java-dns-cache-manipulator
36,voxelcarrot/EnderTech
37,jsurfer/JsonSurfer
38,lwhite1/TableSaw
39,Sidereo/Paparazzi
40,EricssonResearch/openwebrtc-android-sdk
41,jcricket/gwt-syncproxy
42,arthurblake/log4jdbc
43,anshooarora/extentreports
44,Unihedro/JavaBot
45,naver/rotatableviewsample
46,yanaga-samples/android-querydsl
47,QuadFlask/FloatingActionMenu
48,lsjwzh/MediaPlayerEx
49,jmanico/owasp-java-encoder
50,java-irclib/irclib
