idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
1852876,rails/rails,Ruby,0.917061,107,1,0.169272,449.338715,162.0242,0,230499,0.070757,29825,1,1,1,1
1019544,jekyll/jekyll,Ruby,0.942308,16,1,0.140344,88.0,47.077923,1,17576,0.010244,23960,1,1,1,1
1852077,gitlabhq/gitlabhq,Ruby,0.977551,21,1,0.088746,413.951233,228.390244,1,80894,0.353984,17332,1,1,1,1
1851038,plataformatec/devise,Ruby,0.86385,53,1,0.171518,48.42424,53.863636,1,12104,0.660519,14620,1,1,1,1
1423149,cantino/huginn,Ruby,0.932773,9,1,0.069444,69.5,32.166668,1,46736,0.457502,13198,1,1,1,1
70,mitchellh/vagrant,Ruby,0.974128,3,1,0.129264,131.596771,89.629028,1,71428,0.353269,11303,1,1,1,1
1852655,diaspora/diaspora,Ruby,0.948031,19,1,0.042715,312.578949,109.298248,1,139249,0.496775,10557,1,1,1,1
1851058,bbatsov/ruby-style-guide,Ruby,0.0,34,0,0.0,15.0,10.357143,0,2887,0.0,9776,0,1,1,1
1852272,imathis/octopress,Ruby,0.904762,4,1,0.171093,28.790323,28.903227,0,3826,0.0,9355,1,1,1,1
1850705,ruby/ruby,Ruby,0.962694,16,1,0.123579,196.281555,4.140777,1,994760,0.210018,9173,1,1,1,1
720826,caskroom/homebrew-cask,Ruby,0.998884,14,1,0.046669,980.150024,308.600006,1,42295,0.091627,8529,1,1,1,1
1089928,Thibaut/devdocs,Ruby,0.996429,1,1,0.060829,43.529411,10.764706,1,21275,0.282247,8213,1,1,1,1
1812826,github/hub,Ruby,1.0,2,1,0.134225,19.966667,9.233333,1,30543,0.0,8089,1,1,1,1
1849563,thoughtbot/paperclip,Ruby,0.978873,68,1,0.067928,22.21978,20.054945,1,13025,0.678025,7676,1,1,1,1
657950,sass/sass,Ruby,0.988166,2,1,0.195214,43.375,4.894231,1,37790,0.572554,7536,1,1,1,1
1183876,philipwalton/solved-by-flexbox,Ruby,0.0,1,0,0.04064,18.611111,2.444444,1,2324,0.0,7469,0,1,1,1
1851531,spree/spree,Ruby,0.933677,26,1,0.06521,253.847061,79.047058,1,95291,0.552093,7174,1,1,1,1
1407755,resque/resque,Ruby,0.973333,42,1,0.208824,32.02985,20.0,1,5772,0.588013,7119,1,1,1,1
1852635,thomaspark/bootswatch,Ruby,0.666667,1,1,0.070697,30.459459,11.486486,1,440680,0.0,7109,1,1,1,1
1853133,intridea/grape,Ruby,0.993333,47,1,0.042778,28.4,18.072727,1,16123,0.735165,7053,1,1,1,1
1847988,thoughtbot/bourbon,Ruby,0.773585,12,1,0.166239,34.224491,14.77551,1,4031,0.804688,6996,1,1,1,1
1848892,jnicklas/capybara,Ruby,0.972222,27,1,0.162237,34.375,23.390625,1,18959,0.226554,6797,1,1,1,1
627217,Compass/compass,Ruby,0.969697,2,1,0.092836,39.026318,6.947368,1,28898,0.261489,6689,1,1,1,1
1304871,mrmrs/colors,Ruby,0.0,1,0,0.188235,7.034483,2.482759,1,1080,0.0,6543,0,1,1,1
487464,activeadmin/activeadmin,Ruby,0.932722,26,1,0.105116,66.694916,15.474576,1,24519,0.491853,6507,1,1,1,1
1351851,carrierwaveuploader/carrierwave,Ruby,0.956522,36,1,0.168421,23.487179,20.948717,0,10530,0.688402,6477,1,1,1,1
1851820,jordansissel/fpm,Ruby,0.888889,13,1,0.144404,31.639999,17.559999,1,6160,0.30815,6193,1,1,1,1
1853107,javan/whenever,Ruby,0.862069,12,1,0.051173,5.930556,7.763889,1,2529,0.029837,6171,1,1,1,1
1852256,ubuwaits/beautiful-web-type,Ruby,0.0,2,0,0.034615,1.722222,0.361111,1,1285,0.0,6128,0,0,1,1
1853194,ryanb/cancan,Ruby,0.903226,10,1,0.184843,10.466667,23.533333,1,2652,0.635468,6029,1,1,1,1
1852713,mperham/sidekiq,Ruby,0.837607,22,1,0.095966,68.157898,60.236843,1,12195,0.473961,6013,1,1,1,1
1665978,bbatsov/rubocop,Ruby,0.996479,4,1,0.072976,104.571426,50.771427,1,50119,0.705055,5897,1,1,1,1
1850935,sferik/rails_admin,Ruby,0.946309,21,1,0.1183,75.781815,40.781818,1,28216,0.543159,5858,1,1,1,1
1850422,plataformatec/simple_form,Ruby,0.935484,17,1,0.091192,29.1875,19.28125,1,8224,0.709482,5853,1,1,1,1
137220,KrauseFx/fastlane,Ruby,0.925,4,1,0.07019,284.5,83.0,1,4433,0.352696,5760,1,1,1,1
1576636,charliesome/better_errors,Ruby,0.933333,6,1,0.081542,16.740742,11.148148,1,2219,0.449675,5640,1,1,1,1
1851371,intridea/omniauth,Ruby,0.857143,21,1,0.078947,18.983051,13.542373,1,2148,0.562567,5639,1,1,1,1
1853135,amatsuda/kaminari,Ruby,0.866667,7,1,0.128478,21.0,13.897959,1,3027,0.576681,5582,1,1,1,1
884118,elasticsearch/logstash,Ruby,0.972727,11,0,0.096715,113.582092,42.895523,1,13026,0.202989,5450,1,1,1,1
61161,elastic/logstash,Ruby,0.972727,6,0,0.097515,12.538462,15.384615,1,13081,0.206734,5450,1,1,1,1
1850231,joshuaclayton/blueprint-css,Ruby,0.947368,3,0,0.21542,3.528736,0.195402,1,2829,0.0,5430,1,1,1,1
1852978,rapid7/metasploit-framework,Ruby,0.984003,24,1,0.143695,261.674988,42.349998,1,785626,0.050778,5286,1,1,1,1
1852847,progit/progit,Ruby,0.5,62,1,0.061869,50.223881,13.80597,0,2573,0.0,5266,1,1,1,1
1853016,middleman/middleman,Ruby,0.493304,2,1,0.201175,43.0,22.264706,1,23657,0.002182,4983,1,1,1,1
1589038,rails-api/rails-api,Ruby,0.923077,17,1,0.110687,6.571429,5.571429,1,1150,0.543646,4863,1,1,1,1
910673,tmuxinator/tmuxinator,Ruby,0.909091,13,1,0.012219,5.862069,4.931034,1,1966,0.544203,4846,1,1,1,1
1849158,justinfrench/formtastic,Ruby,0.979021,9,1,0.181364,29.204819,13.86747,1,13441,0.734694,4815,1,1,1,1
1850354,guard/guard,Ruby,0.961165,4,1,0.125954,46.320755,14.320755,1,9781,0.616118,4813,1,1,1,1
1849631,paulasmuth/fnordmetric,Ruby,0.142857,2,1,0.12588,29.619047,5.428571,1,44466,0.0,4798,1,1,1,1
1270579,mame/quine-relay,Ruby,0.444444,1,1,0.046988,14.0,3.210526,1,3607,0.0,4751,1,1,1,1
1355069,alexwolfe/Buttons,Ruby,0.0,2,1,0.192623,21.894737,3.0,1,24389,0.0,4687,1,1,1,1
1852795,thoughtbot/factory_girl,Ruby,0.968992,17,1,0.037132,11.987654,9.493827,1,7011,0.671114,4630,1,1,1,1
1853144,mislav/will_paginate,Ruby,0.897959,2,1,0.094318,7.3125,5.475,1,3133,0.487109,4629,1,1,1,1
1850442,skwp/dotfiles,Ruby,0.891892,8,0,0.107424,27.299999,15.475,1,10238,0.130873,4432,1,1,1,1
1566799,manastech/crystal,Ruby,0.0,1,1,0.064103,142.730774,19.538462,1,84892,0.0,4371,1,1,1,1
1405996,helios-framework/helios,Ruby,0.545455,3,0,0.162714,5.45,5.65,1,20497,0.0,4319,1,1,1,1
1850593,travis-ci/travis-ci,Ruby,0.0,7,0,0.0,91.844444,77.955559,0,51,0.0,4315,0,1,1,1
1852281,seyhunak/twitter-bootstrap-rails,Ruby,0.615385,59,1,0.16203,23.536585,20.682926,0,18636,0.47356,4310,1,1,1,1
1852021,Shopify/liquid,Ruby,0.971963,20,1,0.075015,15.073171,6.768293,1,9460,0.578179,4143,1,1,1,1
1093808,junegunn/fzf,Ruby,1.0,1,1,0.060868,33.294117,10.529412,1,7099,0.301063,4109,1,1,1,1
1851936,pry/pry,Ruby,0.975124,6,1,0.137951,77.117645,27.529411,1,19087,0.512389,4028,1,1,1,1
